,,,,,,,,,,,
ID,GroupID,order,abil_type,up_value,Level,_Desc_MissionReward_Value,AssetType,AssetValue,ConditionID,Accumulated,_RoundDown
100000,10001,1,Damage,0,0,,Gold,0,,0,0
100001,10001,1,Damage,1,1,,Gold,10,,1,10
100002,10001,1,Damage,1,2,,Gold,13,,2,13
100003,10001,1,Damage,1,3,,Gold,16,,3,16
100004,10001,1,Damage,1,4,,Gold,20,,4,20
100005,10001,1,Damage,1,5,,Gold,24,,5,24
100006,10001,1,Damage,1,6,,Gold,29,,6,29
100007,10001,1,Damage,1,7,,Gold,34,,7,34
100008,10001,1,Damage,1,8,,Gold,40,,8,40
100009,10001,1,Damage,1,9,,Gold,46,,9,46
100010,10001,1,Damage,5,10,,Gold,55,,14,55
100011,10001,1,Damage,1,11,,Gold,63,,15,63
100012,10001,1,Damage,1,12,,Gold,71,,16,71
100013,10001,1,Damage,1,13,,Gold,80,,17,80
100014,10001,1,Damage,1,14,,Gold,89,,18,89
100015,10001,1,Damage,1,15,,Gold,99,,19,99
100016,10001,1,Damage,1,16,,Gold,109,,20,109
100017,10001,1,Damage,1,17,,Gold,120,,21,120
100018,10001,1,Damage,1,18,,Gold,131,,22,131
100019,10001,1,Damage,1,19,,Gold,143,,23,143
100020,10001,1,Damage,5,20,,Gold,159,,28,159
100021,10001,1,Damage,1,21,,Gold,172,,29,172
100022,10001,1,Damage,1,22,,Gold,186,,30,186
100023,10001,1,Damage,1,23,,Gold,200,,31,200
100024,10001,1,Damage,1,24,,Gold,215,,32,215
100025,10001,1,Damage,1,25,,Gold,230,,33,230
100026,10001,1,Damage,1,26,,Gold,246,,34,246
100027,10001,1,Damage,1,27,,Gold,262,,35,262
100028,10001,1,Damage,1,28,,Gold,279,,36,279
100029,10001,1,Damage,1,29,,Gold,296,,37,296
100030,10001,1,Damage,5,30,,Gold,318,,42,318
100031,10001,1,Damage,1,31,,Gold,337,,43,337
100032,10001,1,Damage,1,32,,Gold,356,,44,356
100033,10001,1,Damage,1,33,,Gold,376,,45,376
100034,10001,1,Damage,1,34,,Gold,396,,46,396
100035,10001,1,Damage,1,35,,Gold,417,,47,417
100036,10001,1,Damage,1,36,,Gold,438,,48,438
100037,10001,1,Damage,1,37,,Gold,460,,49,460
100038,10001,1,Damage,1,38,,Gold,482,,50,482
100039,10001,1,Damage,1,39,,Gold,505,,51,505
100040,10001,1,Damage,5,40,,Gold,534,,56,534
100041,10001,1,Damage,1,41,,Gold,558,,57,558
100042,10001,1,Damage,1,42,,Gold,583,,58,583
100043,10001,1,Damage,1,43,,Gold,608,,59,608
100044,10001,1,Damage,1,44,,Gold,634,,60,634
100045,10001,1,Damage,1,45,,Gold,660,,61,660
100046,10001,1,Damage,1,46,,Gold,687,,62,687
100047,10001,1,Damage,1,47,,Gold,714,,63,714
100048,10001,1,Damage,1,48,,Gold,742,,64,742
100049,10001,1,Damage,1,49,,Gold,770,,65,770
100050,10001,1,Damage,5,50,,Gold,806,,70,806
100051,10001,1,Damage,1,51,,Gold,835,,71,835
100052,10001,1,Damage,1,52,,Gold,865,,72,865
100053,10001,1,Damage,1,53,,Gold,895,,73,895
100054,10001,1,Damage,1,54,,Gold,926,,74,926
100055,10001,1,Damage,1,55,,Gold,957,,75,957
100056,10001,1,Damage,1,56,,Gold,989,,76,989
100057,10001,1,Damage,1,57,,Gold,1021,,77,1021
100058,10001,1,Damage,1,58,,Gold,1054,,78,1054
100059,10001,1,Damage,1,59,,Gold,1087,,79,1087
100060,10001,1,Damage,5,60,,Gold,1129,,84,1129
100061,10001,1,Damage,1,61,,Gold,1164,,85,1164
100062,10001,1,Damage,1,62,,Gold,1199,,86,1199
100063,10001,1,Damage,1,63,,Gold,1235,,87,1235
100064,10001,1,Damage,1,64,,Gold,1271,,88,1271
100065,10001,1,Damage,1,65,,Gold,1308,,89,1308
100066,10001,1,Damage,1,66,,Gold,1345,,90,1345
100067,10001,1,Damage,1,67,,Gold,1383,,91,1383
100068,10001,1,Damage,1,68,,Gold,1421,,92,1421
