,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,_Desc,Grade,Step,MaxLevel,Enchant_CoinType,Enchant_StartCost,Enchant_IncreaseCost,Abil_Value1,Abil_Value2,Abil_Value3,Equip_Abil1,Equip_Abil2,Equip_Abil3,,,,,,,,,,,,,,,,,,,
10001,기사,Magic,,20,EnchantStone,250,5,,,,0.008,0.00125,,,,,,,,,,,,,,,,,,,,
10002,기사,Magic,,20,EnchantStone,250,5,,,,0.008,0.00125,,,,,,,,,,,,,,,,,,,,
10003,기사,Rare,,50,EnchantStone,250,5,,,,0.008,0.00125,,,,,,,,,,,,,,,,,,,,
10004,기사,Rare,,50,EnchantStone,250,5,,,,0.008,0.00125,,,,,,,,,,,,,,,,,,,,
10005,기사,Hero,,100,EnchantStone,250,5,,,,0.008,0.00125,,,,,,,,,,,,,,,,,,,,
10006,기사,Hero,,100,EnchantStone,250,5,,,,0.008,0.00125,,,,,,,,,,,,,,,,,,,,
10007,기사,Legend,,150,EnchantStone,250,5,,,,0.008,0.00125,0.005,,,,,,,,,,,,,,,,,,,
10008,기사,Legend,,150,EnchantStone,250,5,,,,0.008,0.00125,0.0001,,,,,,,,,,,,,,,,,,,
10009,기사,Ancient,,200,EnchantStone,250,5,,,,0.008,0.00125,0.005,,,,,,,,,,,,,,,,,,,
10010,기사,Ancient,,200,EnchantStone,250,5,,,,0.008,0.00125,0.0001,,,,,,,,,,,,,,,,,,,
10011,기사,God,,200,EnchantStone,250,5,,,,0.008,0.00125,0.005,,,,,,,,,,,,,,,,,,,
10012,기사,God,,200,EnchantStone,250,5,,,,0.008,0.00125,0.0001,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,보병,Magic,,20,EnchantStone,100,5,,,,0.008,0.00125,,,,,,,,,,,,,,,,,,,,
20002,보병,Magic,,20,EnchantStone,100,5,,,,0.008,0.00125,,,,,,,,,,,,,,,,,,,,
20003,보병,Rare,,50,EnchantStone,100,5,,,,0.008,0.00125,,,,,,,,,,,,,,,,,,,,
20004,보병,Rare,,50,EnchantStone,100,5,,,,0.008,0.00125,,,,,,,,,,,,,,,,,,,,
20005,보병,Hero,,100,EnchantStone,100,5,,,,0.008,0.00125,,,,,,,,,,,,,,,,,,,,
20006,보병,Hero,,100,EnchantStone,100,5,,,,0.008,0.00125,,,,,,,,,,,,,,,,,,,,
20007,보병,Legend,,150,EnchantStone,100,5,,,,0.008,0.00125,0.005,,,,,,,,,,,,,,,,,,,
20008,보병,Legend,,150,EnchantStone,100,5,,,,0.008,0.00125,0.0001,,,,,,,,,,,,,,,,,,,
20009,보병,Ancient,,200,EnchantStone,100,5,,,,0.008,0.00125,0.005,,,,,,,,,,,,,,,,,,,
20010,보병,Ancient,,200,EnchantStone,100,5,,,,0.008,0.00125,0.0001,,,,,,,,,,,,,,,,,,,
20011,보병,God,,200,EnchantStone,100,5,,,,0.008,0.00125,0.005,,,,,,,,,,,,,,,,,,,
20012,보병,God,,200,EnchantStone,100,5,,,,0.008,0.00125,0.0001,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30001,말,Magic,,20,EnchantStone,100,5,,,,0.008,0.00125,,,,,,,,,,,,,,,,,,,,
30002,말,Magic,,20,EnchantStone,100,5,,,,0.008,0.00125,,,,,,,,,,,,,,,,,,,,
30003,말,Rare,,50,EnchantStone,100,5,,,,0.008,0.00125,,,,,,,,,,,,,,,,,,,,
30004,말,Rare,,50,EnchantStone,100,5,,,,0.008,0.00125,,,,,,,,,,,,,,,,,,,,
30005,말,Hero,,100,EnchantStone,100,5,,,,0.008,0.00125,,,,,,,,,,,,,,,,,,,,
30006,말,Hero,,100,EnchantStone,100,5,,,,0.008,0.00125,,,,,,,,,,,,,,,,,,,,
30007,말,Legend,,150,EnchantStone,100,5,,,,0.008,0.00125,0.005,,,,,,,,,,,,,,,,,,,
30008,말,Legend,,150,EnchantStone,100,5,,,,0.008,0.00125,0.0001,,,,,,,,,,,,,,,,,,,
30009,말,Ancient,,200,EnchantStone,100,5,,,,0.008,0.00125,0.005,,,,,,,,,,,,,,,,,,,
30010,말,Ancient,,200,EnchantStone,100,5,,,,0.008,0.00125,0.0001,,,,,,,,,,,,,,,,,,,
30011,말,God,,200,EnchantStone,100,5,,,,0.008,0.00125,0.005,,,,,,,,,,,,,,,,,,,
30012,말,God,,200,EnchantStone,100,5,,,,0.008,0.00125,0.0001,,,,,,,,,,,,,,,,,,,
