,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,_Desc,_Desc2,_Desc3,HP,Damage,Defence,_TIER,_HP,_Damage,_Defence,,,,,,,,,,,,,,,,,,
1_1,1_1,Warrior,Normal,30,1,2,330,,,,,,,,,,,,,,,,,,,,,
1_2,1_7,Warrior,Normal,43,1,4,543,18,10,10,,,,,,,,,,,,,,,,,,
1_3,1_7,Tank,Normal,57,1,8,957,18,10,10,,,,,,,,,,,,,,,,,,
1_4,1_7,Archer,Normal,28,3,2,528,18,10,10,,,,,,,,,,,,,,,,,,
1_5,1_9,Warrior,Normal,80,2,4,680,10,10,10,,,,,,,,,,,,,,,,,,
1_6,1_9,Tank,Normal,106,1,8,1006,10,10,10,,,,,,,,,,,,,,,,,,
1_7,1_9,Archer,Normal,53,3,2,553,10,10,10,,,,,,,,,,,,,,,,,,
1_8,1_10,Warrior,Normal,101,2,5,801,8,10,8,,,,,,,,,,,,,,,,,,
1_9,1_10,Tank,Normal,135,1,10,1235,8,10,8,,,,,,,,,,,,,,,,,,
1_10,1_10,Archer,Normal,67,3,2,567,8,10,8,,,,,,,,,,,,,,,,,,
1_11,1_15,Warrior,Named,269,4,57,6369,8,10,2,,,,,,,,,,,,,,,,,,
1_12,1_11,Warrior,Normal,164,2,9,1264,5,10,5,,,,,,,,,,,,,,,,,,
1_13,1_11,Tank,Normal,219,1,16,1919,5,10,5,,,,,,,,,,,,,,,,,,
1_14,1_11,Archer,Normal,109,3,3,709,5,10,5,,,,,,,,,,,,,,,,,,
1_15,1_12,Warrior,Normal,277,2,9,1377,3,10,5,,,,,,,,,,,,,,,,,,
1_16,1_12,Tank,Normal,369,1,17,2169,3,10,5,,,,,,,,,,,,,,,,,,
1_17,1_12,Archer,Normal,185,3,3,785,3,10,5,,,,,,,,,,,,,,,,,,
1_18,1_13,Warrior,Normal,421,2,11,1721,2,10,4,,,,,,,,,,,,,,,,,,
1_19,1_13,Tank,Normal,561,1,21,2761,2,10,4,,,,,,,,,,,,,,,,,,
1_20,1_13,Archer,Normal,280,3,4,980,2,10,4,,,,,,,,,,,,,,,,,,
1_21,1_14,Warrior,Normal,425,2,23,2925,2,10,2,,,,,,,,,,,,,,,,,,
1_22,1_14,Tank,Normal,567,1,43,4967,2,10,2,,,,,,,,,,,,,,,,,,
1_23,1_14,Archer,Normal,283,3,9,1483,2,10,2,,,,,,,,,,,,,,,,,,
1_24,1_15,Warrior,Normal,859,2,46,5659,1,10,1,,,,,,,,,,,,,,,,,,
1_25,1_15,Tank,Normal,1146,1,86,9846,1,10,1,,,,,,,,,,,,,,,,,,
1_26,1_15,Archer,Normal,573,3,17,2573,1,10,1,,,,,,,,,,,,,,,,,,
1_27,1_16,Warrior,Normal,868,2,46,5668,1,8,1,,,,,,,,,,,,,,,,,,
1_28,1_16,Tank,Normal,1157,1,87,9957,1,8,1,,,,,,,,,,,,,,,,,,
1_29,1_16,Archer,Normal,578,4,17,2678,1,8,1,,,,,,,,,,,,,,,,,,
1_30,1_17,Warrior,Normal,876,2,47,5776,1,8,1,,,,,,,,,,,,,,,,,,
1_31,1_17,Tank,Normal,1167,1,88,10067,1,8,1,,,,,,,,,,,,,,,,,,
1_32,1_17,Archer,Normal,584,4,18,2784,1,8,1,,,,,,,,,,,,,,,,,,
1_33,1_18,Warrior,Normal,883,2,47,5783,1,8,1,,,,,,,,,,,,,,,,,,
1_34,1_18,Tank,Normal,1178,1,88,10078,1,8,1,,,,,,,,,,,,,,,,,,
1_35,1_18,Archer,Normal,589,4,18,2789,1,8,1,,,,,,,,,,,,,,,,,,
1_36,1_19,Warrior,Normal,891,2,47,5791,1,8,1,,,,,,,,,,,,,,,,,,
1_37,1_19,Tank,Normal,1187,1,89,10187,1,8,1,,,,,,,,,,,,,,,,,,
1_38,1_19,Archer,Normal,594,4,18,2794,1,8,1,,,,,,,,,,,,,,,,,,
1_39,1_20,Warrior,Normal,898,2,48,5898,1,8,1,,,,,,,,,,,,,,,,,,
1_40,1_20,Tank,Normal,1197,1,90,10297,1,8,1,,,,,,,,,,,,,,,,,,
1_41,1_20,Archer,Normal,598,4,18,2798,1,8,1,,,,,,,,,,,,,,,,,,
1_42,1_22,Tank,Named,3036,6,228,26436,1,5,1,,,,,,,,,,,,,,,,,,
1_43,1_21,Warrior,Normal,904,4,48,6104,1,5,1,,,,,,,,,,,,,,,,,,
1_44,1_21,Tank,Normal,1206,2,90,10406,1,5,1,,,,,,,,,,,,,,,,,,
1_45,1_21,Archer,Normal,603,6,18,3003,1,5,1,,,,,,,,,,,,,,,,,,
1_46,1_22,Warrior,Normal,911,4,49,6211,1,5,1,,,,,,,,,,,,,,,,,,
1_47,1_22,Tank,Normal,1214,2,91,10514,1,5,1,,,,,,,,,,,,,,,,,,
1_48,1_22,Archer,Normal,607,6,18,3007,1,5,1,,,,,,,,,,,,,,,,,,
1_49,1_23,Warrior,Normal,917,4,49,6217,1,5,1,,,,,,,,,,,,,,,,,,
1_50,1_23,Tank,Normal,1223,2,92,10623,1,5,1,,,,,,,,,,,,,,,,,,
1_51,1_23,Archer,Normal,611,6,18,3011,1,5,1,,,,,,,,,,,,,,,,,,
1_52,1_24,Warrior,Normal,923,4,49,6223,1,5,1,,,,,,,,,,,,,,,,,,
1_53,1_24,Tank,Normal,1231,2,92,10631,1,5,1,,,,,,,,,,,,,,,,,,
1_54,1_24,Archer,Normal,615,6,18,3015,1,5,1,,,,,,,,,,,,,,,,,,
1_55,1_25,Warrior,Normal,929,6,50,6529,1,3,1,,,,,,,,,,,,,,,,,,
1_56,1_25,Tank,Normal,1239,2,93,10739,1,5,1,,,,,,,,,,,,,,,,,,
1_57,1_25,Archer,Normal,619,6,19,3119,1,5,1,,,,,,,,,,,,,,,,,,
1_58,1_26,Warrior,Normal,935,4,50,6335,1,5,1,,,,,,,,,,,,,,,,,,
1_59,1_26,Tank,Normal,1246,2,93,10746,1,5,1,,,,,,,,,,,,,,,,,,
1_60,1_26,Archer,Normal,623,6,19,3123,1,5,1,,,,,,,,,,,,,,,,,,
1_61,1_27,Warrior,Normal,940,4,50,6340,1,5,1,,,,,,,,,,,,,,,,,,
